Div,Ticker
3400,HEOL
1426,MCHB
800,CRDE
260,BVERS
250,CILZ
200,BKGM
155,GABK
153.5226,COCXF
153.5226,LDSVF
150.9364,NIPPF
140,WFCL
130,TCHWF
127,FMBL
124.7841,ATVXF
101.1406,JPRRF
100,PAWH
93.158974,SMFKY
83.6528,ADZZF
75.6956,GVDBF
75.1859,AMKAF
75.1859,AMKBF
75,WFC-L
72.5,BAC-L
68.5583,FOTRF
67.5721,NPONF
67.29268,USB-A
66.8148,DAFVF
64.109256,UPNRY
62.9966,SRPIF
60.0356,DAWUF
60.02,VDAHY
60,SLMNP
58.195364,JSCPY
58,ADKT
55.51,LMHDF
55,NCRRP
54.0294,TKURF
52.7153,PHPMF
52.045,ORXJF
51.5104,KDXRF
50.4614,FUORF
50,FCELB
48.1,ATCD
47.5,CHTM
45.9575,UUICF
44.6,PLWN
43.85,AMEN
43.7924,MRIHF
42.8859,NMMRF
42.6504,PGPHF
42.0634,GBRSF
41.0073,GLPJF
40,NTBP
37.6477,JPXCF
36.9492,JRFIF
36.2743,SWSDF
36.14397,WBTMU
35.90344,AAALY
35.536794,BSEFY
35.2723,IRRHF
35,BKNG
32.9576,BYCBF
32.57494,NBFJF
31.623,JREIF
31.3748,OCINF
30.862,JRHIF
30,FINN
29,MDTTF
28.5067,ZFSVF
27.3888,FBOHF
26.5,GWOX
26.4521,ICGGF
25.391,NIPOF
25,SBNC
25,TAIPY
24.8696,IVINF
24.2517,SWZCF
24.2506,VDASF
22.7714,MRGIF
22.7338,BKZHF
22.4,HRCR
22.0952,IFCNF
22,GDVTZ
21.779891,LCCTY
21.7506,MTLZF
21.5024,HWREF
20.4,BLK
20,BWEL
20,CAOX
20,GCCO
20,HLRD
20,NSYC
19.7032,PHMNF
19.4566628,CHYHY
18.6,FMCB
18.5,BKUT
18.5,BKUTK
18,ALX
17.136484,ADLDY
17.04,EQIX
16.9629,EMLZF
16.5509,FCILX
16.5431,FCIOX
16.4462,SCWTF
16.3795,MAJLY
16.0281,MURGF
16,FBAK
16,MGAG
15,FRFHF
14.8632,ALIZF
14.804,BCHHF
14.7593,EMSHF
14.689148,CYJBY
14.67822,ACENY
14.54,RTLLF
13.9683,GBERF
13.7206,DLKGF
13.2,LMT
13.1984,BYSTF
13,CBCY
13,CBCYB
12.7498,TICEX
12.6729,TICBX
12.6555,TICDX
12.1357,IRICF
12,GS
12,PSA
12,HMLN
12,WRLC
11.9398,LVMHF
11.938,CHDRF
11.8348,GLBGF
11.8,CABO
11.46,TTYP
11.0086,TLGHY
10.8667,RHHBF
10.8667,RHHVF
10.8,WSO
10.8,WSO.B
10.7346,ELFIF
10.2,PONT
10.16401,RVTTY
10.15,CHRD
10,NEU
10,QUCT
10,RSRV
10,SCPJ
9.9021,HLAGF
9.85,CME
9.8266,VLKPF
9.8,ESS
9.7615,VLKAF
9.7176,FCTXZ
9.386,BLHWF
9.2875,BAP
9.2,CNND
9.1045,RBTEF
9.102,KHNGF
9,HD
9,VRTS
9,AMGN
9,SEB
8.88,MTN
8.8608,DRRKF
8.6741,ATRRF
8.6678,HBMBF
8.56,SNA
8.506445,IESFY
8.48,FIISO
8.4,UNH
8.4,SPG
8.374,BLHEF
8.3000002,NEFBP
8.3,NEFB
8.29,FANG
8.2493,ANNSF
8.24,NOC
8.2,GWW
8,EG
8,DTRL
8,QRTEP
7.9712,GZPZF
7.9149,PFFVF
7.8,FCNCA
7.8,FCNCB
7.7,DRKTY
7.659,SLVAF
7.6,IIPR
7.469488,ANPDY
7.4172,ASLRX
7.4,WTBFA
7.4,WTBFB
7.30511,KSPI
7.28,CMI
7.2,PDER
7.1119,JFBHF
7.103201,PAC
7.0977,ADSCX
7.08,APD
7.08,MCD
7.0524,LRLCF
7,WHR
7,BACRP
7,BANGN
7,MSEXP
7,PPWLM
7,SKTPP
6.9794876,SLMBP
6.9102,VTTGF
6.8961,HELNF
6.88,GHC
6.8,AVB
6.8,KLAC
6.8,SSREF
6.76,NXST
6.7134648,ASML
6.6932,CFMOF
6.68,IBM
6.6052,ASMLF
6.6038,URBDF
6.5616,CFNCF
6.56,ABBV
6.5251,BAMXF
6.52,URI
6.52,CVX
6.52,PH
6.52,UPS
6.52,ELV
6.48,EXR
6.48,AMT
6.48,NXG
6.46,HVRRF
6.44,CPA
6.4,PNC
6.4,MSCI
6.3896,SMECF
6.32665499,DBSDY
6.3,OROVY
6.26,CCI
6.1999998,CKNQP
6.1902,RNMBF
6.1806,RKWAF
6.1806,RKWBF
6.1722,SBR
6.16,ADP
6.04,DPZ
6.0148,VALIF
6,ITW
6,AWRY
6,DHIL
6,NEWEN
6,PPWLO
6,WELPM
